booking_id,passenger_token,flight_id,booking_ts,status,airline_key,route_key,flight_date_key,booking_date_key,flight_reference_status,passenger_reference_status,booking_exact_duplicate,booking_id_repeated,booking_id_normalization_collision,passenger_id_normalization_collision,flight_id_normalization_collision,status_missing,status_blank,status_unrecognized,booking_date_parse_issue,booking_after_departure,payment_record_count,usable_amount_count,unusable_amount_count,known_payment_amount,amount_coverage
B1010,8786516e278e2e3573635994d31755dc9b77e01aa1fab6342554ae9627cbf96e,AI155,2025-11-24T11:37:36.951000,CONFIRMED,1,7,20260420,20251124,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,0,1,,payment records but no usable amounts
B1011,64458f1a2ea0b368781e6d2a46dbbe9a3b44e86c61c2b1cba5e617e0d3f69c29,AI179,2025-10-25T11:37:36.951000,CONFIRMED,1,22,20260420,20251025,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,2115.18,complete amount coverage
B1012,743e93fd228f0bc7e75c6bcfbcf28a0c9445b993d7735a5effa5f6648a56484e,AI137,2025-08-15T11:37:36.951000,PENDING,1,8,20260420,20250815,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,4,3,1,23702.39,partial amount coverage
B1013,e3ba1c425c15aa0dff90e388b7dbf3153acd72b073eb589a1bde11d8aa17824d,SJ001,2025-07-20T11:37:36.951000,CONFIRMED,3,10,20260420,20250720,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,1176.33,complete amount coverage
B1014,d85f8afcbb70eb7a9f8c3ef3492438758c4ba72ca3a55addb1f6e065e9495d3d,SJ172,2025-09-15T11:37:36.951000,PENDING,3,13,20260420,20250915,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1015,b0a97c3ecb3440afcd443e3c1136e56d462d9ea95ede05942ad6f16a06aef12a,UK094,2025-10-21T11:37:36.951000,UNKNOWN,4,7,20260420,20251021,accepted,existing-unique,0,0,0,0,0,1,0,0,0,0,2,2,0,19609.66,complete amount coverage
B1016,d5ec00f8b2fde81c83c32fbe6321634e0d02efe0970d08140c88724f7c75fb82,UK027,2026-01-13T11:37:36.951000,CANCELLED,4,7,20260420,20260113,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,23800.77,complete amount coverage
B1017,42ac98273f57fe34c3c3fea43db1bf7fe7461fddeebdad1be12ea0a123a977b3,UK067,2026-04-04T11:37:36.951000,CONFIRMED,4,7,20260420,20260404,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1018,bb23dbbb43a27d3b60eed103a2f55cef1b0407939ac6d96057aedd862fd2fd84,6F196,2026-03-25T11:37:36.951000,CANCELLED,2,15,20260420,20260325,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,2588.63,complete amount coverage
B1019,0760ee1e1d54c8366925036a566dd9658183d6400d17adde3e15e5b7c1cf700b,6F164,2025-07-31T11:37:36.951000,CANCELLED,2,1,20260420,20250731,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,2,1,18621.00,partial amount coverage
B1020,ba2f0ed1e059e6ddbc8b85fd8008ac09ea6d5b467cf1f8cca347e79383c0fe6b,SJ112,2025-12-06T11:37:36.951000,CONFIRMED,3,24,20260420,20251206,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,8150.35,complete amount coverage
B1021,969c72a8e44594ea59a8e0ea6c3667d6de1f7fa11097aeb16b83cc51bbbfe0a9,6F190,2025-12-07T11:37:36.951000,CANCELLED,2,20,20260420,20251207,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,6949.93,complete amount coverage
B1022,3488eeb0cd8a0b02a645c31146f25de3a002df387a99021981dca073a01ef759,AI080,2026-03-25T11:37:36.951000,CONFIRMED,1,9,20260420,20260325,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1023,707db1486c2694b83a1720a6be639153d107ca55ce0902780209c5af710a067c,6F213,2026-02-03T11:37:36.951000,PENDING,2,1,20260420,20260203,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,13057.27,complete amount coverage
B1024,b5cf38628cdf5875ca897e42e1213dc9b1343926843b68e56c740d21d2c86548,AI115,2025-06-21T11:37:36.951000,PENDING,1,26,20260420,20250621,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,4857.79,complete amount coverage
B1025,d69286543d4c450cadb2a17d85395568b8e8b9797f11fc667532302009792660,SJ049,2026-03-18T11:37:36.951000,PENDING,3,13,20260420,20260318,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,3,0,36122.96,complete amount coverage
B1026,35c333d600c1e42be265df9ee583a11d0b7c3b00f25e80161667c07c005b702b,AI058,2025-06-27T11:37:36.951000,CONFIRMED,1,7,20260420,20250627,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,13204.36,complete amount coverage
B1027,f7bae2c3c9e0724332c41041cbc4c160337c147300c7a8a8ad62a83bb52af17f,UK036,2025-07-25T11:37:36.951000,CONFIRMED,4,11,20260420,20250725,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,7503.17,complete amount coverage
B1028,71780db26ef56f0e456cf7c9ede43cc59493fd928588c23a783479dabfaea510,SJ239,2025-05-25T11:37:36.951000,CANCELLED,3,7,20260420,20250525,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1029,17943c977830f563601f108f9e46ded58af0c2859cb97f6f427a7c12c6ef6b7f,6F025,2025-06-06T11:37:36.951000,CANCELLED,2,1,20260420,20250606,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1030,e2c6e2403be96f7e602e72cc59d2e769cd09468756222980842a161b1155198a,6F236,2026-03-18T11:37:36.951000,CANCELLED,2,8,20260420,20260318,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1031,ae31539f9f87dc5f7b61f34adf56c5d73d6c4a5884f45368941fbbfc22bf5421,AI060,2025-11-16T11:37:36.951000,CANCELLED,1,19,20260420,20251116,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,7056.42,complete amount coverage
B1032,2b3407912eb0c3f6f899f4963ebea27508a6d0c4ae04eb8a51cd884e6765dfa8,UK021,2025-09-03T11:37:36.951000,CANCELLED,4,25,20260420,20250903,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1033,ac793a3a7ba1f5ce0b86e3b814d36007ffc23af2e63240974237cdf776105e40,UK026,2025-05-06T11:37:36.951000,UNKNOWN,4,25,20260420,20250506,accepted,existing-unique,0,0,0,0,0,1,0,0,0,0,3,2,1,17076.39,partial amount coverage
B1034,3d87c264cad05574eb9850d44e121b61a8fa369f348aee434af0e251a030a090,SJ179,2025-12-31T11:37:36.951000,CONFIRMED,3,19,20260420,20251231,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1035,be9e15cc6ed77b88bdc12d4d3bce73400a2ed900270bd0cb63d85d9e157142a8,6F251,2025-08-21T11:37:36.951000,PENDING,0,16,20260420,20250821,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1036,c5ea3550182a423924072b4f98c7bfd21dc307bc4cdb4bacb6773f3545784b03,SJ149,2025-11-24T11:37:36.951000,PENDING,3,25,20260420,20251124,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,5144.89,complete amount coverage
B1037,9b2f30e1ec17d4a3c3a305738fcfe98b2a82a6cad65df4da865c6c5b157c0009,AI188,2026-03-20T11:37:36.951000,PENDING,1,14,20260420,20260320,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1038,082a2c9622e4e852364c76d451574a05189174182263e0d8eb73c172a3444aee,SJ093,2026-01-01T11:37:36.951000,PENDING,3,1,20260420,20260101,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1039,f5184d85d46aa37165fadd09897276becc67bc3f49e577d7669056799b879308,SJ205,2025-08-21T11:37:36.951000,CONFIRMED,3,23,20260420,20250821,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,3,0,24656.69,complete amount coverage
B1040,b32aae4eb57ae6ce01513e2980aa6dc30dfea8682ad7b144f8b2f2ca556b84c9,6F099,2025-08-08T11:37:36.951000,CONFIRMED,2,29,20260420,20250808,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1041,8812cb814420cf0694f8321ac050ba99c8d8b8ef34c22103666fcfe1e03bcac6,UK176,2025-05-28T11:37:36.951000,CONFIRMED,4,21,20260420,20250528,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,23580.18,complete amount coverage
B1042,8fdeebe40880f65e79a9e5a383be22e3719ca7fa0f8354de8e364b252fe7052c,UK200,2025-12-02T11:37:36.951000,CANCELLED,4,13,20260420,20251202,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,14402.39,complete amount coverage
B1043,da3128b065f0f715198061c911cea0198c92f3496764ba7365ece9cd2aeeab6f,6F195,2025-11-22T11:37:36.951000,CANCELLED,2,13,20260420,20251122,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,8291.60,complete amount coverage
B1044,956b1f1d71207905834455183d51bde65a6f6429c72c47335d12bee55ae51d32,6F174,2026-04-12T11:37:36.951000,PENDING,2,19,20260420,20260412,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,1199.88,complete amount coverage
B1045,60115b4e562111a61b33babb3e66e70658b52ea9bc82a9ca2419e0b98568b6f8,SJ214,2026-03-19T11:37:36.951000,UNKNOWN,3,10,20260420,20260319,accepted,existing-unique,0,0,0,0,0,1,0,0,0,0,3,2,1,6732.21,partial amount coverage
B1046,7cf495928162b426ed028c251d0b1dcfd62c2aa81f9ff67ef3c80626524f2c4e,UK059,2025-10-14T11:37:36.951000,CONFIRMED,4,25,20260420,20251014,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,26282.31,complete amount coverage
B1047,446af26b54dc5cc82501dc7d71e484f847a46bc5f283fd993c9fbd6062cde2a9,6F151,2025-12-29T11:37:36.951000,PENDING,2,14,20260420,20251229,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1048,81a7a3008de1fa01107e87af433e6959c5d8c67535984469981b7a1dab452caf,SJ236,2025-09-19T11:37:36.951000,PENDING,3,27,20260420,20250919,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1049,3488eeb0cd8a0b02a645c31146f25de3a002df387a99021981dca073a01ef759,SJ153,2025-07-28T11:37:36.951000,UNKNOWN,3,18,20260420,20250728,accepted,existing-unique,0,0,0,0,0,0,0,1,0,0,0,0,0,,no payment record in this extract
B1050,5ae6021962d9561b92510c69938aa67a89b27882d5bcdac4bccc19c983309f73,AI220,2026-01-15T11:37:36.951000,PENDING,1,8,20260420,20260115,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,13350.33,complete amount coverage
B1051,ecc6747e1b9e5dded3e6feac7fb3bbba5ec42695e3ad9176353a56b698d78089,6F028,2025-07-05T11:37:36.951000,CANCELLED,2,23,20260420,20250705,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,10875.08,complete amount coverage
B1052,ebbe10318ec63216fd407ecc68b8e2a181d1b75421d175a34c82254aedf00d32,UK209,2025-12-30T11:37:36.951000,CANCELLED,0,26,20260420,20251230,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,9827.30,complete amount coverage
B1053,3b6b17aecafb456939933dd5bb0f61bdd7d1ce9df56505419a8303c4b94d606f,UK216,2026-04-01T11:37:36.951000,PENDING,4,30,20260420,20260401,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,7702.52,complete amount coverage
B1054,4fe9f3b870210c4fdaac380444c2cfa7f0e27381fa2e167a80099fca6fcd5bf9,AI132,2026-04-11T11:37:36.951000,CANCELLED,1,1,20260420,20260411,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1055,52248f18341272eff8e0a4514d6510316412e418e0aee790f3676de6ac24a39f,6F012,2025-10-14T11:37:36.951000,CANCELLED,2,14,20260420,20251014,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1056,142476a4fa0dfd6fa44d36f1c79920b72e769b45d837d0d7d7c4be358c687843,UK173,2026-03-24T11:37:36.951000,CANCELLED,4,26,20260420,20260324,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,1,1,3173.87,partial amount coverage
B1057,399a285735971ddf63088943088881e8e22ae869f40c50470889c5a5b6f9f629,SJ047,2025-08-20T11:37:36.951000,CANCELLED,3,22,20260420,20250820,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,12211.20,complete amount coverage
B1058,b3a39fca8898f4da781cc72fca7a93430a94fef57cc502eb8595fa14338f13c8,SJ043,2025-12-07T11:37:36.951000,PENDING,0,29,20260420,20251207,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1059,deb61cd2f1ebf917ea05d4b58366bd69e185e8d444c6daa8d37fda9621693bc7,UK140,2026-01-03T11:37:36.951000,CONFIRMED,4,26,20260420,20260103,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,10839.07,complete amount coverage
B1060,ac2580a3e71f560d99c9bcab47e7ffefbb01defa3fe4c532a566c0fd57085e4c,6F086,2025-12-30T11:37:36.951000,CONFIRMED,2,30,20260420,20251230,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,11681.98,complete amount coverage
B1061,c3c28ffa18b7131973d46f2bd83292f9860bc143aefb4b7ed7c2728db0e6be02,6F114,2026-04-05T11:37:36.951000,CANCELLED,2,10,20260420,20260405,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,3,0,31579.80,complete amount coverage
B1062,7d84760c36f17d860eef766ce47a3af69b30683471bb6dccf29e2af7e473689e,UK153,2025-06-12T11:37:36.951000,CANCELLED,4,14,20260420,20250612,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1063,c78c7f627838bf26494b025409281a9948696820f363e2303dd0e55212e81c3b,6F149,2025-05-19T11:37:36.951000,CANCELLED,2,2,20260420,20250519,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1064,46b6f23b5a321e7394ecb224cb2b25316643961616542116d1a4e5068ac3a44e,UK145,2025-09-14T11:37:36.951000,CONFIRMED,4,9,20260420,20250914,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,14413.72,complete amount coverage
B1065,c25b62d8d43f38e827e5e9e7e30167075e4d11d5d87c4dd49ff82ee5c368fedf,UK010,2026-03-06T11:37:36.951000,CANCELLED,4,30,20260420,20260306,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1066,e4b677f7f75b0e312302aa4694a34e6e221308acf4bdf03fb8df328c989900c3,SJ003,2025-11-05T11:37:36.951000,PENDING,3,28,20260420,20251105,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1067,79a736fbbb5fee742e1623a9a40b6d22a32047c2a98e8756f787c06f452d4050,SJ160,2025-07-23T11:37:36.951000,PENDING,3,26,20260420,20250723,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,3,0,17433.34,complete amount coverage
B1068,c7f2c92b31bfc9c036b9c2edda928f0e86a40059529cd3050505d9bcf46789db,UK224,2025-11-22T11:37:36.951000,PENDING,0,15,20260420,20251122,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,5274.94,complete amount coverage
B1069,51c5f61eb756bd7e04856012bee3f821c5b20f7c3a7bdde5d452d8d879247f8e,UK152,2025-08-02T11:37:36.951000,CONFIRMED,4,7,20260420,20250802,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,14992.95,complete amount coverage
B1070,3b6b17aecafb456939933dd5bb0f61bdd7d1ce9df56505419a8303c4b94d606f,SJ034,2025-09-22T11:37:36.951000,CANCELLED,3,27,20260420,20250922,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,5631.13,complete amount coverage
B1071,fac0118bf7d10227f4e64d2879d811c8b1deb6e1851c9c9c0651fc3e02362170,UK215,2025-12-21T11:37:36.951000,CANCELLED,4,8,20260420,20251221,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1072,f5ad6078d01a634039797e9813336f45a7a13af2c06b4fad4b9f12d83060d2ae,UK089,2025-08-10T11:37:36.951000,CANCELLED,4,9,20260420,20250810,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1073,5eb0e9d4d0cc42e565f8d79bba8bfc2e8131180bb05f697908c185e7c0097b32,6F180,2025-12-04T11:37:36.951000,CONFIRMED,2,26,20260420,20251204,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1074,d386416d66bd5e3398c6e13d77bd0ddad1806650055798019889feb5aa4ce116,6F188,2025-09-25T11:37:36.951000,CONFIRMED,2,19,20260420,20250925,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1075,800d7f6c5e56261ac74739a13243bf6de4b6e118c9ab8db54aed11b64dba9583,UK131,2026-01-03T11:37:36.951000,CONFIRMED,4,8,20260420,20260103,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1076,57ca2a10bc16bcefa7f1f6fcad3fc6090d1bcf2f6434f9ca586d128d278e5e58,UK055,2025-05-04T11:37:36.951000,CONFIRMED,4,24,20260420,20250504,accepted,existing-nonunique,0,0,0,0,0,0,0,0,0,0,1,1,0,8247.50,complete amount coverage
B1077,0a1b185f688e77fe0cb642aad0566ee232e6beb1886b06e6672e84a7e2e004b1,UK181,2025-05-03T11:37:36.951000,PENDING,4,29,20260420,20250503,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,11261.70,complete amount coverage
B1078,15d634d1b27df258fe82e22d913907968b04dddaed08ad2cc6e7bd10e752c967,6F077,2025-09-21T11:37:36.951000,CONFIRMED,2,13,20260420,20250921,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1079,0e7c7ac8f85b02e337b915c96c444462d018cc392d7aae419dd4c4f7894ee7ea,SJ085,2025-06-03T11:37:36.951000,CONFIRMED,3,5,20260420,20250603,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1080,74a54d4cf0f7e823a253d77ebc2ffd5a536e5eef42ceacd17a567b02e39bc67a,SJ023,2025-06-05T11:37:36.951000,CONFIRMED,3,25,20260420,20250605,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,21169.42,complete amount coverage
B1081,8f145f2598571dcdf06ccb6529dfa28fd53c504242e43202c6b7d0cade724d07,SJ202,2025-11-13T11:37:36.951000,CANCELLED,3,14,20260420,20251113,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1082,83af86d304a8be22a7de5d4a1f0087476c854813188ed1ee213f76556a2f12be,SJ150,2025-09-09T11:37:36.951000,CANCELLED,3,9,20260420,20250909,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1083,eb4a026e7b9b3f8547907c15c2eac0e9f59969f8bf63dcd40dc38d9b9ca279ff,SJ116,2025-05-12T11:37:36.951000,CANCELLED,3,23,20260420,20250512,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,6777.38,complete amount coverage
B1084,37b1a1c6f1b52a729a81b98ce07f17daee7a23cde3b2b9ab6860780bfb7fb9c4,6F270,2025-06-14T11:37:36.951000,PENDING,0,25,20260420,20250614,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1085,de3d45c68ef9b5903169ad73d306113b4d95fd753c35a98e9000b34c0e1e0349,UK150,2026-03-24T11:37:36.951000,PENDING,4,18,20260420,20260324,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,11410.80,complete amount coverage
B1086,0164aeddc4e75fac4e57c74cd7a41359fdc350e0ade60be7d657ca383683395f,SJ237,2026-02-16T11:37:36.951000,CONFIRMED,3,7,20260420,20260216,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,4873.96,complete amount coverage
B1087,6e1dee2d34ac774185f5d0f9c0888b41bc1b0a0df8479006de157071bb9e764a,AI221,2025-05-08T11:37:36.951000,CANCELLED,1,30,20260420,20250508,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,3191.92,complete amount coverage
B1088,093cad3566e3b817f2de2e0daa77db3038c96e3684048d6cc43e5f56c3d51400,SJ081,2026-03-25T11:37:36.951000,PENDING,3,6,20260420,20260325,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,7375.10,complete amount coverage
B1089,ad6643db0ee366cf43477a3ed5436300c48eeb44afaacb4fe9961c05cde24645,UK189,2025-09-03T11:37:36.951000,CANCELLED,4,5,20260420,20250903,accepted,existing-nonunique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1090,f2b8a5b467646d94e1c9cc737176e007acc06d59c5a944bac9ec54ffb140922d,SJ068,2025-05-16T11:37:36.951000,PENDING,3,1,20260420,20250516,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1091,020d5f8d7d5c8127540fe902d398cda61532bd4ba89e18fe1a2e8f58279af2bd,6F043,2025-08-18T11:37:36.951000,PENDING,2,9,20260420,20250818,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1092,8711a1b2f21db5d34b657ece8da7f938e4f29597cf64d56d79fa1f52b7a74c6b,UK187,2026-03-18T11:37:36.951000,CONFIRMED,4,1,20260420,20260318,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,3,3,0,15898.93,complete amount coverage
B1093,4b9f32139da950a31436d73fd8b37fdf96a0317f74e96425e35335a555f344c9,UK074,2025-05-11T11:37:36.951000,CONFIRMED,4,8,20260420,20250511,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1094,d046ed42bcc627ab214c575aea92f9557ad05a71a92400cb1c9b79de8aa12fa5,UK004,2026-01-07T11:37:36.951000,PENDING,4,7,20260420,20260107,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,17560.29,complete amount coverage
B1095,35c333d600c1e42be265df9ee583a11d0b7c3b00f25e80161667c07c005b702b,6F194,2025-07-30T11:37:36.951000,CONFIRMED,2,7,20260420,20250730,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1096,da1de794d8b73a3f38aac7762bcc36b24e80db055325474c0c3df92c0ff15b10,UK068,2026-01-03T11:37:36.951000,PENDING,4,5,20260420,20260103,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,18163.89,complete amount coverage
B1097,4e79de3b0fe235546a87e324e7d63f99a54a970414f49e38c4e5278efeea649b,6F017,2025-08-26T11:37:36.951000,UNKNOWN,2,12,20260420,20250826,accepted,existing-unique,0,0,0,0,0,1,0,0,0,0,0,0,0,,no payment record in this extract
B1098,23440c6ee3913d6263e4bd642eee27a27390dee9ed37d14d1355cb8c90ecad68,6F245,2025-10-15T11:37:36.951000,UNKNOWN,2,12,20260420,20251015,accepted,existing-unique,0,0,0,0,0,1,0,0,0,0,1,1,0,10455.66,complete amount coverage
B1099,6923809f7819d18bb35a927493fa60e1d666475b909c2ad86c70b5b02b9b5436,6F254,2025-12-07T11:37:36.951000,CONFIRMED,0,26,20260420,20251207,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1100,11d795562e99d7da53391dca25630f82fc934d803ef2e9cecab29866565fdaeb,UK077,2026-03-05T11:37:36.951000,CONFIRMED,0,22,20260420,20260305,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
